,value,date,ipc_type,base,base_log,dlog,year,month,quarter,sa_component,sa,log_sa,dlog_sa,forecast_dlog_sa,MoM_sa_final
363,102.98,2006-02-01,Продовольственный ИПЦ,2.2117560768564957,0.7937868049107569,0.029364608629903977,2006.0,2.0,1.0,0.024993109216532475,2.186762967639963,0.7824223533974036,0.02011843854914752,,101.02032217834912
364,101.17,2006-03-01,Продовольственный ИПЦ,2.2376336229557166,0.8054188891404646,0.011632084229707629,2006.0,3.0,1.0,0.05424047792258803,2.1833931450331283,0.7808801552754855,-0.0015421981219181369,,100.99845899045452
365,100.26,2006-04-01,Продовольственный ИПЦ,2.2434514703754016,0.8080155149877306,0.002596625847266054,2006.0,4.0,2.0,0.0655693282337494,2.177882142141652,0.7783529101639932,-0.002527245111492271,,100.99747594568389
366,100.47,2006-05-01,Продовольственный ИПЦ,2.253995692286166,0.8127045044738621,0.004688989486131501,2006.0,5.0,2.0,0.06139957896691109,2.192596113319255,0.785086281621164,0.006733371457170789,,101.00675609156845
367,100.02,2006-06-01,Продовольственный ИПЦ,2.254446491424623,0.8129044844765283,0.0001999800026661891,2006.0,6.0,2.0,0.04286967842346483,2.211576813001158,0.7937057511624185,0.008619469541254476,,101.00865672413018
368,100.89,2006-07-01,Продовольственный ИПЦ,2.274511065198302,0.8217651129087247,0.008860628432196371,2006.0,7.0,3.0,0.014107868949661337,2.2604031962486406,0.8155432027915926,0.021837451629174165,,101.0220776339128
369,99.45,2006-08-01,Продовольственный ИПЦ,2.262001254339711,0.8162499322206146,-0.005515180688110077,2006.0,8.0,3.0,-0.04409667287944803,2.306097927219159,0.8355568872154345,0.020013684423841882,,101.02021530098982
370,99.37,2006-09-01,Продовольственный ИПЦ,2.247750646437371,0.8099300034757952,-0.0063199287448193475,2006.0,9.0,3.0,-0.07136836499451807,2.3191190114318894,0.8411873771083025,0.0056304898928679625,,101.00564637089303
371,99.95,2006-10-01,Продовольственный ИПЦ,2.2466267711141525,0.809429878434113,-0.0005001250416822867,2006.0,10.0,4.0,-0.0658376892754864,2.312464460389639,0.8383138218061909,-0.002873555302111641,,100.99713056940612
372,100.78,2006-11-01,Продовольственный ИПЦ,2.264150459928843,0.8171996156984737,0.007769737264360699,2006.0,11.0,4.0,-0.054487717453309936,2.318638177382153,0.8409800208229761,0.00266619901678522,,101.00266975648633
373,101.09,2006-12-01,Продовольственный ИПЦ,2.2888296999420676,0.8280406388763486,0.010841023177874942,2006.0,12.0,4.0,-0.03193432728073377,2.3207640272228014,0.8418964535423988,0.0009164327194227662,,101.00091685277219
374,100.94,2007-01-01,Продовольственный ИПЦ,2.310344699121523,0.8373967338003736,0.009356094924025005,2007.0,1.0,1.0,0.004544730170589058,2.305799968950934,0.835427674351079,-0.006468779191319829,,100.9935520983192
375,100.83,2007-02-01,Продовольственный ИПЦ,2.3295205601242315,0.8456624782174061,0.008265744417032539,2007.0,2.0,1.0,0.024993109216532475,2.304527450907699,0.8348756449789052,-0.0005520293721738012,,100.999448122968
376,100.77,2007-03-01,Продовольственный ИПЦ,2.3474578684371883,0.8533329845216259,0.007670506304219726,2007.0,3.0,1.0,0.05424047792258803,2.2932173905146,0.8299558055374646,-0.004919839441440588,,100.9950922431457
377,100.75,2007-04-01,Продовольственный ИПЦ,2.3650638024504675,0.8608049993603271,0.007472014838701191,2007.0,4.0,2.0,0.0655693282337494,2.299494474216718,0.8326893049580845,0.002733499420619845,,101.00273723883662
378,100.95,2007-05-01,Продовольственный ИПЦ,2.387531908573747,0.8702601581310822,0.00945515877075509,2007.0,5.0,2.0,0.06139957896691109,2.326132329606836,0.8442069439686843,0.011517639010599878,,101.01158422239705
379,101.73,2007-06-01,Продовольственный ИПЦ,2.428836210592073,0.8874122169486479,0.017152058817565763,2007.0,6.0,2.0,0.04286967842346483,2.385966532168608,0.8696042968248792,0.02539735285619482,,101.02572261336994
380,101.42,2007-07-01,Продовольственный ИПЦ,2.4633256847824807,0.9015123413274296,0.01410012437878172,2007.0,7.0,3.0,0.014107868949661337,2.4492178158328195,0.8957687147389343,0.026164417914055105,,101.02650971118473
381,99.4,2007-08-01,Продовольственный ИПЦ,2.448545730673786,0.8954942690018667,-0.006018072325562951,2007.0,8.0,3.0,-0.04409667287944803,2.492642403553234,0.9133433540415918,0.01757463930265757,,101.01772998197208
382,101.02,2007-09-01,Продовольственный ИПЦ,2.473520897126659,0.9056426000536819,0.01014833105181523,2007.0,9.0,3.0,-0.07136836499451807,2.544889262121177,0.9340871371191451,0.020743783077553313,,101.0209604307836
383,103.26,2007-10-01,Продовольственный ИПЦ,2.554157678372988,0.9377224935170936,0.03207989346341167,2007.0,10.0,4.0,-0.0658376892754864,2.6199953676484746,0.9631725496983412,0.029085412579196057,,101.02951252403993
384,101.93,2007-11-01,Продовольственный ИПЦ,2.603452921565587,0.9568386107093237,0.019116117192230164,2007.0,11.0,4.0,-0.054487717453309936,2.657940639018897,0.9775516270916683,0.014379077393327111,,101.0144829536109
385,101.61,2007-12-01,Продовольственный ИПЦ,2.6453685136027927,0.9728103802190223,0.015971769509698586,2007.0,12.0,4.0,-0.03193432728073377,2.6773028408835264,0.9848098851041786,0.0072582580125102325,,101.00728466301331
